            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461112.791666667, A.D. 2026-Mar-13 07:00:00.0000, -1.476513734327086E+08,  1.707059285954319E+07,  7.387897935514595E+06, -3.507598456491038E+00, -2.697794059423025E+01, -1.163674437801820E+01,
2461112.798611111, A.D. 2026-Mar-13 07:10:00.0000, -1.476534770202867E+08,  1.705440635199658E+07,  7.380916037514975E+06, -3.504360489407571E+00, -2.697708453835368E+01, -1.163624896268829E+01,
2461112.805555556, A.D. 2026-Mar-13 07:20:00.0000, -1.476555786657189E+08,  1.703822035812427E+07,  7.373934436748861E+06, -3.501124637240014E+00, -2.697622834695169E+01, -1.163575359989991E+01,
2461112.812500000, A.D. 2026-Mar-13 07:30:00.0000, -1.476576783702744E+08,  1.702203487800682E+07,  7.366953133184308E+06, -3.497890900184273E+00, -2.697537202261092E+01, -1.163525829105381E+01,
2461112.819444444, A.D. 2026-Mar-13 07:40:00.0000, -1.476597761352222E+08,  1.700584991172321E+07,  7.359972126788529E+06, -3.494659278433534E+00, -2.697451556791999E+01, -1.163476303755168E+01,
2461112.826388889, A.D. 2026-Mar-13 07:50:00.0000, -1.476618719618316E+08,  1.698966545935087E+07,  7.352991417527896E+06, -3.491429772178255E+00, -2.697365898546946E+01, -1.163426784079617E+01,
2461112.833333333, A.D. 2026-Mar-13 08:00:00.0000, -1.476639658513719E+08,  1.697348152096568E+07,  7.346011005367943E+06, -3.488202381606155E+00, -2.697280227785188E+01, -1.163377270219090E+01,
2461112.840277778, A.D. 2026-Mar-13 08:10:00.0000, -1.476660578051127E+08,  1.695729809664197E+07,  7.339030890273356E+06, -3.484977106902210E+00, -2.697194544766175E+01, -1.163327762314040E+01,
2461112.847222222, A.D. 2026-Mar-13 08:20:00.0000, -1.476681478243234E+08,  1.694111518645249E+07,  7.332051072207983E+06, -3.481753948248637E+00, -2.697108849749556E+01, -1.163278260505019E+01,
2461112.854166667, A.D. 2026-Mar-13 08:30:00.0000, -1.476702359102738E+08,  1.692493279046844E+07,  7.325071551134822E+06, -3.478532905824895E+00, -2.697023142995176E+01, -1.163228764932673E+01,
2461112.861111111, A.D. 2026-Mar-13 08:40:00.0000, -1.476723220642337E+08,  1.690875090875950E+07,  7.318092327016035E+06, -3.475313979807663E+00, -2.696937424763077E+01, -1.163179275737743E+01,
2461112.868055556, A.D. 2026-Mar-13 08:50:00.0000, -1.476744062874729E+08,  1.689256954139372E+07,  7.311113399812933E+06, -3.472097170370841E+00, -2.696851695313503E+01, -1.163129793061066E+01,
2461112.875000000, A.D. 2026-Mar-13 09:00:00.0000, -1.476764885812615E+08,  1.687638868843765E+07,  7.304134769485985E+06, -3.468882477685540E+00, -2.696765954906891E+01, -1.163080317043575E+01,
2461112.881944444, A.D. 2026-Mar-13 09:10:00.0000, -1.476785689468695E+08,  1.686020834995623E+07,  7.297156435994810E+06, -3.465669901920068E+00, -2.696680203803880E+01, -1.163030847826297E+01,
2461112.888888889, A.D. 2026-Mar-13 09:20:00.0000, -1.476806473855672E+08,  1.684402852601287E+07,  7.290178399298185E+06, -3.462459443239924E+00, -2.696594442265305E+01, -1.162981385550357E+01,
2461112.895833333, A.D. 2026-Mar-13 09:30:00.0000, -1.476827238986249E+08,  1.682784921666940E+07,  7.283200659354041E+06, -3.459251101807791E+00, -2.696508670552202E+01, -1.162931930356975E+01,
2461112.902777778, A.D. 2026-Mar-13 09:40:00.0000, -1.476847984873129E+08,  1.681167042198607E+07,  7.276223216119455E+06, -3.456044877783524E+00, -2.696422888925805E+01, -1.162882482387467E+01,
2461112.909722222, A.D. 2026-Mar-13 09:50:00.0000, -1.476868711529017E+08,  1.679549214202159E+07,  7.269246069550660E+06, -3.452840771324139E+00, -2.696337097647545E+01, -1.162833041783243E+01,
2461112.916666667, A.D. 2026-Mar-13 10:00:00.0000, -1.476889418966620E+08,  1.677931437683308E+07,  7.262269219603042E+06, -3.449638782583810E+00, -2.696251296979056E+01, -1.162783608685814E+01,
